objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,discoveryContext,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-4989,433,Socketed Celt,,,,Bronze Age,p0gjgrs6qb2,,"Royal Scottish Museum,Edinburgh,Reg. No. 1902.531",1902.531,,National Museum of Scotland,"romania (formerly hungary),timisoara district",,,,,,Romania,,Timisoara,45.7538355,21.2257474,,,,,97,42,47,148,dark green patina with bronze colour showing through in places,well preserved,33,"Width: 47mm; butt 42mm,Thickness: 33 mm:5 mm",Bronze,,"Socketed Celt: bronze, with single loop, moulded lines below socket and curved grooves on blade",,,Joellen McGann,http://farm8.staticflickr.com/7438/13306530343_11fe6eefa0_z.jpg,http://farm8.staticflickr.com/7438/13306530343_11fe6eefa0_b.jpg,http://www.flickr.com/photos/MicroPasts/13306530343,superuser,drawB8
BAI-40177,433,Sickle,,,,Bronze Age,p0gjgrs6qb2,,"Royal Scottish Museum, Edinburgh,Reg. No. 1902.532",1902.532,,National Museum of Scotland,"Hungary,Temesvar District",,,,,,Hungary,,"Timișoara, Romania",45.7538355,21.2257474,,,,,144,31; butt 26,,134,Light + dark green patina with traces of brown,In fair condition,4,,,,"Sickle, bronze with incised cable border; one rivet hole",,,Joellen McGann,https://farm8.staticflickr.com/7771/18343964451_e2d96b8e3a_z.jpg,https://farm8.staticflickr.com/7771/18343964451_e2d96b8e3a_b.jpg,https://www.flickr.com/photos/115096994@N02/18343964451,superuser,ForeignTools
BAI-40178,433,Sickle,,,,Bronze Age,p0gjgrs6qb2,,Vize Collection No. 2706; Sotheby's No. 124/9,2706,,Private Collection,"Hungary,Banat,Temesvar",,,auction,,,Hungary,,"Timișoara, Romania",45.7538355,21.2257474,,,,,156,"27, 35, 30, 21.5",,113.39,"Thin emerald green patina, golden bronze just visible.","Smooth, with very slt. traces of earth.","2, 4, 6, 3.5",,,,"Both sides of blade are ground to form an edge, especially the underneath side of blade.",,,Joellen McGann,https://farm9.staticflickr.com/8813/18343964261_084a7ecd88_z.jpg,https://farm9.staticflickr.com/8813/18343964261_084a7ecd88_b.jpg,https://www.flickr.com/photos/115096994@N02/18343964261,superuser,ForeignTools
BAI-4814,433,Socketed Axe,,,,Bronze Age,p0gjgrs6qb2,,"Mortimer Archaeological Collection,Hull Municipal Museum,186",186,,Hull Municipal Museum,"France,le manche",,,,,,France,,"Le Manche, France",45.7561542,6.3446159,,,,,123,37,,168,Brown to Green,Slightly Pitted,39,,,,Socketed Celt,"Hull Museums No. 213,(Manche Hoard)",,Joellen McGann,http://farm8.staticflickr.com/7203/13306584403_8f63852b59_z.jpg,http://farm8.staticflickr.com/7203/13306584403_8f63852b59_b.jpg,http://www.flickr.com/photos/MicroPasts/13306584403,superuser,drawB8
BAI-4812,433,Socketed Axe,,,,Bronze Age,p0gjgrs6qb2,,"Mortimer Archaeological Collection,Hull Municipal Museum,187",187,,Hull Municipal Museum,"France,le manche",,,,,,France,,"Le Manche, France",45.7561542,6.3446159,,,,,130,33,,248,Green,Pitted,38,,,,Socketed Celt,"Hull Museums, No. 213, (Manche Hoard)",,Joellen McGann,http://farm4.staticflickr.com/3791/13306430425_b9358e1618_z.jpg,http://farm4.staticflickr.com/3791/13306430425_b9358e1618_b.jpg,http://www.flickr.com/photos/MicroPasts/13306430425,superuser,drawB8
BAI-4428,433,Flat Celt,,,,Bronze Age,p0gjgrs6qb2,,"Charterhouse Museum, No. 7",7,,Charterhouse Museum,"France, rhone, bed of the rhone, lyon",,,,,,France,,"Lyon, France",45.7578137,4.8320114,,,,,115,30,43,158,green patina,poor condition,8,"Width: edge 43; middle 30; butt 20,  Thickness: 8 (middle),  Weight: 157.5",,,,,,Joellen McGann,http://farm3.staticflickr.com/2815/13306343413_f70e16ac4b_z.jpg,http://farm3.staticflickr.com/2815/13306343413_f70e16ac4b_b.jpg,http://www.flickr.com/photos/MicroPasts/13306343413,superuser,drawB8
BAI-4345,433,Flanged Celt,,,,Bronze Age,p0gjgrs6qb2,,"Reading Museum, A.L., L.V, Lord Ansbury, Sept. 1916, 486",ALLV,,Reading Museum,"France, rhone, lyon",,,,,,France,,"Lyon, France",45.7578137,4.8320114,,,5,1867,122,32,79,291,"green, with a few ochrous stains",scratched in places,10,"Width: edge 79; middle 32; butt 24,  Weight: 290.58 gms",,,Edge slightly chipped.,,,Joellen McGann,http://farm8.staticflickr.com/7374/13306361753_3b0214886c_z.jpg,http://farm8.staticflickr.com/7374/13306361753_3b0214886c_b.jpg,http://www.flickr.com/photos/MicroPasts/13306361753,superuser,drawB8
BAI-41450,433,Sickle,,,,Bronze Age,p0gjgrs6qb2,,"British Museum,WG 945",WG.945,H_WG-945,British Museum,"Romania,Transylvania, Szeben,Szent-Evzebet",,,,,,Romania,,"Sibiu, Romania",45.7973912,24.1519202,,,,,,,,,,,,,Copper Alloy,,,,,Joellen McGann,https://farm1.staticflickr.com/381/19328787326_673dd9ba22_z.jpg,https://farm1.staticflickr.com/381/19328787326_673dd9ba22_b.jpg,https://www.flickr.com/photos/115096994@N02/19328787326,superuser,ForeignSickles
BAI-41404,433,Sword,,,,Bronze Age,p0gjgrs6qb2,,"Herts Cty. Museum, St. Albans,Ball Collection",,,Hertfordshire County Museum,"Yugoslavia,Carniola,Sittich (E. of Laibach)",,,,,,Yugoslavia,,"1295 Stična, Slovenia",45.9480892,14.7978676,,,,,470,"blade 37.5, 45; hilt 32.5, 58",,403.96,Patches of green,"Rough, very encrusted","blade 6.5; hilt 8, 4",,,,Rivet lengths: A: 4mm; B: 4.5mm; C: 7mm; D: 11mm. Each side of central rib is decorated with incised lines. Four iron Rivets in hilt.,,,Joellen McGann,https://farm1.staticflickr.com/389/19188820235_0451dedb37_z.jpg,https://farm1.staticflickr.com/389/19188820235_0451dedb37_b.jpg,https://www.flickr.com/photos/115096994@N02/19188820235,superuser,ForeignSwordsMisc
BAI-41385,433,Ferrule,Spear,,,Bronze Age,p0gjgrs6qb2,,"Herts Cty. Museum, St. Albans,Ball Collection",,,Hertfordshire County Museum,"Rumania,Transylvania,Mohlbach",,,,,,Romania,,"Sebeș, Romania",45.9591058,23.5699265,,,,,178.5,socket 21.5,,141.75,Dark brown matt,smooth,socket 22,,,,Tubular in construction. 2 Rivet holes.,,,Joellen McGann,https://farm1.staticflickr.com/349/18568753083_777fa59671_z.jpg,https://farm1.staticflickr.com/349/18568753083_777fa59671_b.jpg,https://www.flickr.com/photos/115096994@N02/18568753083,superuser,ForeignSwordsMisc
BAI-4614,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Peabody Museum, Harvard University, Cambridge, Mass, 3340, Received by purchase 1868, collected by G. de Mortillet",3340,,Peabody Museum,"France, haute-savoie, regnier-esery",,,,,,France,,"Regnier, France",46.108209,3.6301988,,,,,170,27,66,,olive green,Smooth. Edge is slightly corroded.,7,"Width: edge 66; middle 27; butt 21,  Thickness: septum 7; side 23",,,"Section and longgitudinal section, are drawn approximately.",,,Joellen McGann,http://farm8.staticflickr.com/7447/13306327275_049157a7d4_z.jpg,http://farm8.staticflickr.com/7447/13306327275_049157a7d4_b.jpg,http://www.flickr.com/photos/MicroPasts/13306327275,superuser,drawB8
BAI-5081,433,Winged Celt,,,,Bronze Age,p0gjgrs6qb2,,"Peabody Museum,Havard University,Cambridge, Mass.,3339,Received by purchase 1868,Collected by G. de Mortillet",3339,,Peabody Museum,"France,haute savoie,regnier-esery",,,,,,France,,Reignier-esery,46.1367059,6.27021838880828,,,,,151,39,40,,uneven patina dark green,,43,"Width: edge 40mm; butt 39mm,Thickness: 43mm; 6mm",,,,,,Joellen McGann,http://farm4.staticflickr.com/3701/13306523605_8a699062b0_z.jpg,http://farm4.staticflickr.com/3701/13306523605_8a699062b0_b.jpg,http://www.flickr.com/photos/MicroPasts/13306523605,superuser,drawB8
BAI-4934,433,Socketed Celt,,,,Bronze Age,p0gjgrs6qb2,,"Peabody Museum,Harvard University,Cambridge,, Mass.,3340,Received by purchase 1868,collected by G. de Mortillet",3340,,Peabody Museum,"France,rhone-alpes,haute-savoie,reignier-esery",,,,,,France,,Reignier-esery,46.1367059,6.27021838880828,,,,,135,38,43,,light green with large polished patch on reverse,,42,"Width: edge 43mm; socket 38mm,Thickness: socket 42mm",,,,,,Joellen McGann,http://farm8.staticflickr.com/7054/13306756254_b8145bf112_z.jpg,http://farm8.staticflickr.com/7054/13306756254_b8145bf112_b.jpg,http://www.flickr.com/photos/MicroPasts/13306756254,superuser,drawB8
BAI-4933,433,Socketed Celt,,,,Bronze Age,p0gjgrs6qb2,,"Peabody Museum,Harvard University,Cambridge, Mass.,3340,Purchased 1868,collected by G. de Mortillet",3340,,Peabody Museum,"France,rhone-alpes,haute savoie,reignier-esery",,,,,,France,,"Reignier-esery, France",46.1367059,6.27021838880828,,,,,122,39,49,,"dark green, except on face, which shows original bronze, nearly all over on that side of the specimen.",smooth and polished,38,"Width: edge 49mm; socket 39mm,Thickness: socket 38mm",,One of a hoard weighing 5 kilograms.,,"Dechelette, J.: Manuel d'Archeologie, ii, App. i. 94,Chantre, E.: Age du Bronze, iii. 116, 188,de Mortillet, G.: Cachettes de l'Age du Bronze en France [Bull. de la Societe d'Anthropologie de Paris (1894) 306],Revon, L.: La Haute-Savoie Avant les Romaines [Rev. Savoisienne, 1876, 47]",,Joellen McGann,http://farm4.staticflickr.com/3811/13306548483_edcd1a427a_z.jpg,http://farm4.staticflickr.com/3811/13306548483_edcd1a427a_b.jpg,http://www.flickr.com/photos/MicroPasts/13306548483,superuser,drawB8
BAI-4644,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Peabody Museum, Harvard University, Cambridge, Mass, 3340, received by purchase 1868, collected by G. de Mortillet",3340,,Peabody Museum,"France, haute savoie, reignier",,,,,,France,,"Reignier-esery, France",46.1367059,6.27021838880828,,,,,196,37,,,collour not stated,smooth. one side considerably polished. a good deal scratched on one face,30,"Width: edge -; middle 37; butt 35,  Thickness: middle 30",,one of a hoard weighing 5 kilograms,,"Dechelette, J.: Manuel d'Archeologie. ii.App.i 94., Chantre, E., Age du Bronze. iii. 116, 188., Mortillet, G. de: Cachettes de l'age du bronze en France [ Bull. de la Societe d'anthropologie de Paris (1894)] 306., Revon, L.: La Haute-Savoie avant les Romains, [Rev. Savoisieane 1876. 47]",,Joellen McGann,http://farm3.staticflickr.com/2812/13306320085_12fa18565f_z.jpg,http://farm3.staticflickr.com/2812/13306320085_12fa18565f_b.jpg,http://www.flickr.com/photos/MicroPasts/13306320085,superuser,drawB8
BAI-4983,433,Socketed Celt,,,,Bronze Age,p0gjgrs6qb2,,"Farnham Museum, Dorset",,,Farnham Museum,"romania (formerly hungary),arad,arad",,,,,,Romania,,"Arad, Romania",46.1753793,21.3196342,,,,,139,45,55,113,dull green,smooth,33,"Width: edge 55mm; socket 45mm,Thickness: socket 33mm,Weight: 113.39 gms",,,,,,Joellen McGann,http://farm4.staticflickr.com/3687/13306378145_18a3f3cce1_z.jpg,http://farm4.staticflickr.com/3687/13306378145_18a3f3cce1_b.jpg,http://www.flickr.com/photos/MicroPasts/13306378145,superuser,drawB8
BAI-4674,433,Palstave,,,,Bronze Age,p0gjgrs6qb2,,"Canterbury Museum, 2096, Copeland Collection",2096,,Canterbury Museum,"switzerland, geneva",,,,,,Switzerland,,"Geneva, Switzerland",46.2017559,6.1466014,,,,,152,22,52,413,a little dark green patina,"smooth, but mostly covered with dark greyish brown eart",7,"Width: edge 52; butt 22,  Thickness: 7; 28",,,,,,Joellen McGann,http://farm8.staticflickr.com/7162/13306311885_92b30c8797_z.jpg,http://farm8.staticflickr.com/7162/13306311885_92b30c8797_b.jpg,http://www.flickr.com/photos/MicroPasts/13306311885,superuser,drawB8
