PASID,objectType,broadperiod,periodFromName,periodToName,fromdate,todate,description,notes,workflow,materialTerm,secondaryMaterialTerm,subsequentActionTerm,discoveryContext,datefound1,datefound2,TID,rallyName,weight,height,diameter,thickness,length,quantity,identifier,recorder,regionName,county,district,parish,fourFigure,gridSource,fourFigureLat,fourFigureLon,objectID,knownas,filename,imageLabel,imageCopyrightHolder,imageLicense,imageURL,thumbnail
645998,Socketed Axehead,Bronze Age,Bronze Age,BRONZE AGE,-950,-750,"Late Bronze Age bronze socketed axe of South Wales (Stogursey) Type, of Ewart Park Metalworking Industry, dating to Needham's Period 7 (c. 950 - 750BC).



The axe is fragmentary and distorted, represented by a mouth fragment, comprising part of one face and the looped side (with a surviving length of 44.1mm and a weight of 62.7g). The mouth (with a distorted width of 56.4mm and a surviving depth of 26mm) is flat topped (6.4mm - 9.4mm wide) and two casting runner stubs are evident on the surviving side and face. There is a mouth moulding, bevel to the face (6.8mm long). The loop springs from the base of the moulding and returns immediately above the break (with a length of 32mm and an internal length of 17.4mm). The loop is broken (with a surviving height of 9.6mm) and appears to have broken more recently. The casting seam is clearly discernible below the loop but has been neatly finished. The surviving side fragment is slightly concave across its length and across its width, is bevelled towards the centre, which would have produced a sub-hexagonal body section. The surviving face is decorated with three ribs, which are near-parallel or slightly converging. The face has been battered below the mouth, damaging the mouth moulding and distorting the axe. The surface has patinated, suggesting the damage occurred in antiquity. Further evidence of battering can be seen on the side of the face and above the break. The rear has a tears corresponding to the impact points. All damage to the axe, apart from the loop appears to have occurred in antiquity. The surface has a pale-green patina with small surviving traces of a black patina or corrosion surviving.



The damage to the axe appears to have occurred in antiquity and may have been deliberate, possibly for votive purpose.",,3,Copper alloy,,Returned to finder,Metal detector,,,,,62.7,,,,44.1,1,Edward Besly,Wenke Domscheit,Wales,Monmouthshire,Monmouthshire,Llanhennock,ST3894,From finder,51.64136803,-2.8973618,NMGW-38B29D,,2013.73.1jpg.jpg,Late Bronze Age bronze socketed axe of South Wales (Stogursey) Type,All rights reserved,Attribution License,https://finds.org.uk/images/wenkedomscheit/2013.73.1jpg.jpg,https://finds.org.uk/images/thumbnails/490537.jpg
646388,Palstave,Bronze Age,Bronze Age,BRONZE AGE,-1500,-1250,"An incomplete cast copper alloy (bronze) early un looped palstave / primary Group I - shield patterned palstave of Middle Bronze Age date (1500-1300 BC) - most probably associated with the Acton Park II and Taunton metalworking assemblages (Needham Period 5) - both assemblages fit within Burgess Metal Working Stage VIII and IX



The blade of the palstave is sub-triangular in plan with convex expanding sides and a convex (fan like) blade. The cutting edge has been lost. In profile the blade is sub-triangular with the widest section being before the stop ridge. The blade (measured from the blade edge to the stop ridge) is 80.56 mm long and the width of blade at its widest point is 63.21 mm. The thickness of the blade tip is 8.56 mm. The maximum thickness of the blade is 24.25 mm (measured at a point below the stop ridge; the width at this point is 32.5 mm). Directly below the stop ridge are two concave depressions which are bordered by slightly raised ridges. This pattern is more visible on one face than the other. The convex cutting edge of the blade is lost through corrosion, abrasion and probably wear. Although evidence of the blade facet remains on both sides of the object The exposed edge is asymmetric with one side of the blade being more worn than the other. This may be due to considerable movement in the ploughsoil and corrosion or be functional use in the active Bronze Age life of the palstave. The rear part of the axe (from the stop ridge to the butt) is sub-rectangular in plan and sub-triangular in section (profile) with the widest part behind the stop ridge. The septum (the area between the flange facets and the stop ridge) is 69.94 mm long, 17.6 mm wide and 6.1 mm thick. The butt of the axe is complete. The width at the butt is 28.4 mm. The flange facets are fused to the stop ridge forming two raised elements to haft the axe by. The facets on each side of the axe differ slightly from one another. However, one face of the axe has been severally damaged by abrasion and corrosion which renders comparison between the two faces difficult. Below the stop ridge on one face there is a u-shaped hollow section which is cast into the object. It measures 28.5 mm long and 24.1 mm wide. It is better preserved on one side than the other probably due to movement or corrosion whilst within the plough soil.



The palstave is a mid green colour with areas of thick well formed patina and exposed areas of abraded metal. It is likely that abrasion and corrosion has spread and affected 40% of the surface of the axe. However, this corrosion seems to be relatively stable at present and relatively few areas of light green active powdery corrosion can be observed. Abrasion caused by movement whilst within the plough soil may have resulted in the loss of some of the original surface detail. Similar examples to this palstave can be seen in: Savory, 1980; Catalogue of the Bronze Age collections in the National Museum of Wales; entry 153 from St Fagans, Glamorgan. This form and style of palstave fits can be classifided as an early palstave / primary group I - shield patterned and dates to the first phase of the Middle Bronze Age (MBA I) 1450-1250 BC specifically within the  Acton Park II and Taunton metalworking assemblages (Needham Period 5) - both assemblages fit within Burgess Metal Working Stage VIII and IX. A close comparison to this palstave has been recorded from the Albrighton Area, Shropshire (HESH-D05FE3)



The palsatve measures 149 mm long and weighs 494.1 grams.",,3,Copper alloy,,Returned to finder,Metal detector,2014-09-08T23:00:00Z,2014-09-08T23:00:00Z,,,494.1,,,24.25,149,1,Helen Glenn,Helen Glenn,West Midlands,Staffordshire,Staffordshire Moorlands,Horton,SJ9257,Generated from computer mapping software,53.11012579,-2.12096067,WMID-755304,,WMID-755304.jpg,Middle Bronze Age: Palstave Shield Shaped Type,Birmingham Museums Trust,Attribution License,https://finds.org.uk/images/hglenn/WMID-755304.jpg,https://finds.org.uk/images/thumbnails/490757.jpg
646532,Flat Axehead,Bronze Age,Bronze Age,BRONZE AGE,-2000,-1700,"An almost complete decorated Flat Axe / axehead of Early Bronze Age Period, date (2000-1700 BC). The general form of the axe is complete, however it has suffered significant loss from corrosion at both the cutting edge and the butt. In plan the axe is broadly rectangular with narrow rounded butt and expanded / splayed cutting edge. In profile the axe is lentoid. In section the axe is broadly rectangular (rectangular with rounded edges) and there are no signs of raised flanges or hafting augmentation. There is also no sign of a proto stop ridge / median bevel. The surface patina has been poorly preserved and the majority has flaked away because of laminating surface corrosion. One face is better preserved than the other. The remaining surface patina shows evidence of decoration - specifically small lentoid shaped depressions aligned vertically on the axe blade. This form of decoration is known as rain pattern and is common on some axes of the later early bronze age. The long edges of the axe are also poorly preserved, again it is possible there are some facets possibly suggesting cable like decoration. The axe is a light green to light brown colour and has an uneven polished patina; elements of the axe are still coated in soil. The axehead is best described as coming from the later phases of the Early Bronze Age of metalworking stage IV which corresponds to Needham's (1996) Period 3 circa 2000 - 1700 CAL. BC. This axe is very similar to those identified as Type Migdale Variant Biggar (Burgess and Schmidt: plate 18-19. 220 Knapton or 229 Stamfordham).



The axe measures 150.2mm long, the cutting edge has a width of 68.2 mm and the butt is 30.6 mm wide. It has a thickness of 9.3 mm at the centre of the axe, the blade has a thickness of 6.3 mm and the butt has a thickness of 6.9 mm. The axe weighs 290.3 g.",,3,Copper alloy,,Returned to finder,Metal detector,,,,,290.3,,,9.3,150.2,1,Helen Glenn,Helen Glenn,Wales,Powys,Powys,Glascwm,SO1054,From finder,52.17688778,-3.31758845,WMID-798FF7,,WMID-798FF7.jpg,Early Bronze Age: Flat Axehead ,Birmingham Museums Trust,Attribution License,https://finds.org.uk/images/hglenn/WMID-798FF7.jpg,https://finds.org.uk/images/thumbnails/490828.jpg
646743,Hoard,Bronze Age,Bronze Age,,-1400,-1100,"A hoard of two incomplete Middle Bronze Age rapiers dating to the period c. 1400 - 1100 BC.



Both blades best described as rapiers and best placed in Burgess & Gerloff's 'Group III' (Burgess, C.B., and Gerloff, S. 1981. The Dirks and Rapiers of Great Britain and Ireland.



Prähistorische Bronzefunde IV, 7 Beck: Munich).



The rapiers will be discussed as rapier A and rapier B.



Rapier A consists of six fragments of the blade along with six rivets from the handle. One of the breaks between two of the fragments may be deliberate, the other breaks appear to have occured during deposition. All of the fragments feature substantial damage along both edges of the blade. All of the fragments exhibit one surface with a smooth dark green patina with some pitting and one surface with a heavily pitted, rough dark green patina. The uppermost section comprises widened shoulders which measure 63.47mm at their widest point. They have been damaged along the top by a series of old breaks. The edge of one notch is visible along the break line. The blade then tapers to a width of 19.82mm and terminates in a jagged break point. The blade is lozengiform in cross-section and features a thick, prominent mid-rib.



The second fargment of rapier A has straight parallel sides and is lozengiform in cross-section. The blade is slightly curved along its length and terminates in an old break which may have been deliberate. This fragment measures 129.16mm in length, 20.77mm in width, tapering to a width of 18.39mm and is 7.37mm thick.



The third fragment tapers noticably along its length 77.64mm in length, 16.92mm in width, tapering to a width of 14.24mm. It is 6.51mm thick, narrowing to a thickness of 5.91mm. The fourth fragment measures 41.00mm in length, tapers from a width of 13.07mm to 11.95mm and is 5.43mm thick. The fifth fragment measures 15.28mm in length, 11.05mm in width and is 5.15mm thick. The sixth fragment comprises the tip of the blade and narrows markedly incomparison to the other fragments. measures 46.45mm in length, tapers from a width of 11.67mm to a width of 3.98mm and narrows from a thickness of 5.19mm to 3.47mm. It terminates in an old break.



The rivets are cylindrical in shape, each featuring a ridged collar at either terminal with rounded ends. They all feature an uneven dark green and brown patina. One terminates in an old break, however, the other five are all intact, save minor surface damage. The rivets vary in length from 21.44mm to 13.34mm and in diameter from 19.21mm to 11.78mm.



Rapier B comprises three fragments of the blade. It is missing the hilt and shoulders. The first fragment is rectangular in shape and lozengifrom in cross section. The blade has been faceted, with a prominent mid-rib and two additional ribs flanking, creating four facets on each surface. The faceting is also visible in the cross section. The fragment measures 131.72mm in length, 23.34mm in width, tapering to 20.91mm and is 7.29mm thick.



The second fragment tapers slightly along its length. The break point at one end seems to match with the break point of the first section. One surface has a deeply pitted dark greeen patina. The other surface exhibits a smooth dark green patina interspersed with uneven patches of green and brown corrosion product and some recent scratches where the original colour of the metal is visible. It measures 135.66mm in length, 21.17mm in width, tapering to 18.66mm and is 7.11mm thick, narrowing to 6.47mm.



The third fragment comprises the tip of the blade and commences with a deliberate break, visible where the blade has been bent out of shape and snapped. Unlike the first two fragments, this fragment only exhibits one thickened ridge running along its length, rather than the faceted surfaces of the other two fragments. Both surfaces feature a pitted and scratched dark green patina. The fragment measures 156.65mm in length, 23.36mm in width, tapering to 8.98mm and is 11.86mm thick, narrowing to 8.11mm.","These two rapiers were found at the same farm at least 10 years ago, the finder is deceased.



On the balance of probability these finds constitute a hoard but were found prior to 1st Janurary 2003 and consequently would not be defined as treasure under the 1997 act or Treasure trove.",3,Copper alloy,,Returned to finder,Metal detector,,,,,,,,,,2,Julie Dawn Shoemark,Julie Dawn Shoemark,South West,Dorset,North Dorset,Shillingstone,ST8409,From finder,50.88026826,-2.22879757,WILT-8CBFA4,,WILT-8CBFA4.jpg,Bronze Age rapier,Salisbury and South Wiltshire Museum,Attribution License,https://finds.org.uk/images/rhenry2/WILT-8CBFA4.jpg,https://finds.org.uk/images/thumbnails/491077.jpg
646848,Penannular Ring,Bronze Age,Bronze Age,BRONZE AGE,-1150,-800,"
A gold penannular ring of near-circular cross section. Bands of yellow and paler, silver-rich gold are clearly visible on the inside of the band, less so on the outer circumference where this decorative effect is very worn. Examination suggests that the ring is solid.


An addition to a well known series of decorative rings. This example is the third from Surrey to be recorded under the Treasure Act.
","This item is more than 300 years old and composed of more than 10% precious metal. It therefore should be considered Treasure under the terms of the Treasure Act 1996.



Acquired by Dorking Museum.",3,Gold,,Acquired by museum after being declared Treasure,Metal detector,2014-10-22T23:00:00Z,,2014T790,,15.72,,17.17,6.55,,1,David W Williams,David W Williams,South East,Surrey,Mole Valley,Betchworth,TQ2050,From finder,51.23657266,-0.28247951,SUR-8F221C,,DSCF4923.JPG,Bronze Age: Gold pennanular ring,Surrey County Council,Attribution License,https://finds.org.uk/images/dwilliams/DSCF4923.JPG,https://finds.org.uk/images/thumbnails/491949.jpg
647636,Spear,Bronze Age,Bronze Age,BRONZE AGE,-1500,-1150,"A possible socketed spearhead dating to the Middle Bronze Age, c. 1500 to 1150 BC.



Most of the blade and some of the socket are missing. The breaks are patinated suggesting they are not recent. The spearhead is broadly sub-triangular in plan and profile with an incomplete and abraded leaf-shaped blade. Two single cast 'string' side loops are present, one on either edge however both are incomplete. Running either side of the loops along the length of the object there is some evidence for casting seams. The spearhead has lozenge-shape cross section across the blade before rounding to create a sub-circular cross section at the socket. The spearhead measures 48.86 mm length, has a maximum width of 11.3mm. The spearhead weighs 13.28 grams. There is some organic material in the socket however it is unclear if this is related to the use of the object. 



The spearhead is a string loop type, which suggests later middle Bronze Age to early late Bronze Age date. Side-looped spearheads are Greenwell and Brewis' Class IV and date to the early Middle Bronze Age. Acton Park II industry. Similar examples are recorded on the PAS database, see for example LVPL-68BF43 and SWYOR-CE9339.",,4,Copper alloy,,Returned to finder,Metal detector,,,,,11.3,,,,48.86,1,William Pickering,William Pickering,North West,Cumbria,Eden,Kaber,NY8011,,54.493933,-2.3102816,DUR-CCF592,,DURCCF592.jpg,Socketed Spearhead,Durham County Council,Attribution License,https://finds.org.uk/images/a8622912/DURCCF592.jpg,https://finds.org.uk/images/thumbnails/511179.jpg
647904,Rapier,Bronze Age,Bronze Age,BRONZE AGE,-1600,-1001,"Fragment of the blade of a Bronze Age rapier, both ends broken. Extant length, width and thickness 23, 17.5 and 4.3mm. c.1000 - c.700 BC.



Within 20m of grid reference.",,4,Copper alloy,,Returned to finder,Metal detector,2014-09-15T23:00:00Z,2014-10-19T23:00:00Z,,,,,,4.3,23,1,Andrew Rogerson,Andrew Rogerson,Eastern,Norfolk,King's Lynn and West Norfolk,Fincham,TF7004,GPS (from the finder),52.60717896,0.50911774,NMS-0A34CB,,18849_0A34CB_LBA_Rapier_ILL.jpg,Bronze Age rapier. Illustration: Jason Gibbons,Norfolk County Council,Attribution License,https://finds.org.uk/images/edarch/18849_0A34CB_LBA_Rapier_ILL.jpg,https://finds.org.uk/images/thumbnails/573256.jpg
648134,Socketed Axehead,Bronze Age,Bronze Age,BRONZE AGE,-1000,-701,"Incomplete cutting edge of a Bronze Age copper alloy axe. No part of the socket is present but the steepness of the rise from the cutting edges suggests Late Bronze Age socketed axe. The break is ancient. Extant length, width and thickness 23.2, 45.6 and 13mm. c.1000 - c.700 BC.",,4,Copper alloy,,Returned to finder,Metal detector,2014-09-15T23:00:00Z,2014-10-19T23:00:00Z,,,,,,13,23.2,1,Andrew Rogerson,Andrew Rogerson,Eastern,Norfolk,South Norfolk,Wymondham,TG1003,GPS (from the finder),52.58422875,1.09835164,NMS-0F1612,,60195_0F1612_LBA_SocketedAxehead_ILL.jpg,Bronze Age socketed axehead. Illustration: Jason Gibbons,Norfolk County Council,Attribution License,https://finds.org.uk/images/edarch/60195_0F1612_LBA_SocketedAxehead_ILL.jpg,https://finds.org.uk/images/thumbnails/573326.jpg
648135,Spear,Bronze Age,Bronze Age,BRONZE AGE,-1600,-1001,"A fragment of a Middle Bronze Age cast copper-alloy socketed spearhead, c. 1600 BC -1001 BC. The fragment is broadly lanceolate (or leaf-shaped) in plan and has a lozenge-section midrib which tapers towards the tip, now missing. The outer edgesof the flanking wing bladeshave suffered damage. The upper portion of the circular-sectioned hollow socket is intact, where it meets with the spear tip and the sub-conical aperture created by the socket runs almost all of the way upwards into the remaining tip fragment, measuring 39.1 mm in length. The broken edge of the tip itself is solid cast, indicating that the missing portion would have also been solid cast. The spearhead measures 48.06 mm long, 19.82 mm wide (at wing blades), 11.09 mm thick, with a 9.38 mm external socket diameter and an approximate 7 mm internal socket diameter; it weighs 16.06 grams.","
This object has been assessed with the assistant of FLO Peter Reavill, who specialises in Bronze Age objects.
",4,Copper alloy,,Returned to finder,Metal detector,2014-03-16T00:00:00Z,,,,16.06,,9.38,11.09,48.06,1,Stephanie Smith,Stephanie Smith,South East,East Sussex,Lewes,St. Ann (Without),TQ3708,From finder,50.85529636,-0.05498599,SUSS-0F21A9,,SUSS0F21A9.jpg,Middle Bronze Age Socketed Spearhead,Sussex Archaeological Society,Attribution License,https://finds.org.uk/images/stephaniesmith/SUSS0F21A9.jpg,https://finds.org.uk/images/thumbnails/505260.jpg
648323,Knife,Bronze Age,Bronze Age,BRONZE AGE,-1000,-701,"Incomplete Late Bronze Age copper alloy tanged two-edged knife, both ends broken and all edges missing. Most of the damage is recent. There is a broad mid-rib on both faces of  the blade. Extant length 55.2mm. Width 15.3mm. Thickness 2.8mm. Weight 8.76g.  c.1000 - c.700 BC.",,4,Copper alloy,,Returned to finder,Metal detector,2014-09-15T23:00:00Z,2014-10-19T23:00:00Z,,,8.76,,,2.8,55.2,1,Andrew Rogerson,Andrew Rogerson,Eastern,Norfolk,South Norfolk,Morley,TG0600,GPS (from the finder),52.55882614,1.03753625,NMS-22834C,,29927_22834C_LBA_Knife_ILL.jpg,Bronze Age knife. Illustration: Jason Gibbons,Norfolk County Council,Attribution License,https://finds.org.uk/images/edarch/29927_22834C_LBA_Knife_ILL.jpg,https://finds.org.uk/images/thumbnails/573270.jpg
