PASID,objectType,broadperiod,periodFromName,periodToName,fromdate,todate,description,notes,workflow,materialTerm,secondaryMaterialTerm,subsequentActionTerm,discoveryContext,datefound1,datefound2,TID,rallyName,weight,height,diameter,thickness,length,quantity,identifier,recorder,regionName,county,district,parish,fourFigure,gridSource,fourFigureLat,fourFigureLon,objectID,knownas,filename,imageLabel,imageCopyrightHolder,imageLicense,imageURL,thumbnail
1059451,Socketed Axehead,Bronze Age,Bronze Age,IRON AGE,-1000,-700,"An complete cast copper alloy socketed axehead. The mouth of the socket is square with a thick exterior beaded collar around it. The body of the blade tapers from the mouth towards the blade in one plane, whilst it flares in the other into a curved, crescentic cutting edge. At one side, below the collar, is a large side loop on the longitudinal axis. The loop is D-shaped with an oval aperture. There are clear casting lines along the sides of the axehead. The sides of the body have two longitudinal facets flanking the casting ridges, giving the body an irregular hexagonal exterior profile. On one side (the one without the loop) there is pitting on the surface, perhaps as the result of slight mis-casting.

Date: Late Bronze Age to Early Iron Age - c. 1000 - 700 BC

Dimensions: 81.05 mm x 47.98 mm x 30.10 mm

Socket dimensions: external 30.10 mm x 31.99 mm, internal 23.41 mm x 22.73 mm

Weight: 107.21 g",,4,Copper alloy,,Returned to finder,Metal detector,,,,,107.21,,,30.1,81.05,1,Ciorstaidh Hayward Trevarthen,Ciorstaidh Hayward Trevarthen,South West,Dorset,North Dorset,Spetisbury,ST9001,Centred on field,50.80846486,-2.14329166,DOR-DD256B,,DORDD256B.jpg,Bronze Age axehead,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/lucybev/DORDD256B.jpg,https://finds.org.uk/images/thumbnails/1177738.jpg
1059678,Spearhead,Bronze Age,Bronze Age,BRONZE AGE,-1000,-800,"Copper alloy possible spearhead fragment. Cast ogival lentoid-section tip from a blade; here considered as possibly broken from a light spearhead. Suggested date: Late Bronze Age, 1000-800BC



Length: 17.6mm, Width: 8.4mm, Thickness: 1.8mm, Weight: 0.95gms",,4,Copper alloy,,Returned to finder,Metal detector,2022-02-27T00:00:00Z,,,,0.95,,,1.8,17.6,1,Martin Foreman,Martin Foreman,Yorkshire and the Humber,North Lincolnshire,North Lincolnshire,Roxby cum Risby,SE9114,GPS (from the finder),53.61465305,-0.62588526,NLM-2E04AE,,NLM49699.jpg,Bronze Age spearhead tip,North Lincolnshire Museum,Attribution License,https://finds.org.uk/images/mforeman/NLM49699.jpg,https://finds.org.uk/images/thumbnails/1177318.jpg
1059938,Votive Model,Bronze Age,Bronze Age,IRON AGE,-1000,-500,"A copper-alloy wheel probaby a Late Bronze Age or Early Iron Age votive model of a miniature wheel dating c. 1000-500 BC.



The openwork wheel is circular in plan and sub-rectangular in cross section. The wheel has a trapezoidal shaped 'axel' from which four spokes radiate, narrowing as they do, before flaring slightly where they join the outer rim. The apertures between each spoke are sub-oval and slightly pointed. There is a circular perforation in the centre of the axle (c.1.0mm diameter) this shows signs of ware on one face. The wheel has a dark green surface with red areas. 



Measurements: external diameter: 20.48mm; thickness: 2.23mm and weight: 2.17g. 



There are many similar examples recorded on the database which are recorded as late Bronze Age or early Iron Age/Roman votive wheels e.g. OXON-5C8F8B; GLO-E82DE1, KENT-70F063, SF-987EE3; NMS-1CDC66. However, this example has a very small central perforation and rectangular cross-section more akin to NLM-B563BC, which suggests it is the wheel for an 18/19th century toy cannon.  An example of an 18th century toy cannon with its wheeled carriage in (Forsyth and Egan 2005, page 85 no. 1.17); has similar wheels but notably with only three spokes rather than four. SUR-A965C0 is another example recorded as a toy on the PAS database, but again with three spokes. Therefore, on balance, based on its form a prehistoric date is suggested for this object.",,4,Copper alloy,,Returned to finder,Metal detector,,,,,2.17,,20.48,2.23,,1,Jane Clark,Jane Clark,South East,Hampshire,Basingstoke and Deane,Bradley,SU6341,From finder,51.16478633,-1.10037851,SUSS-4883C8,,SUSS4883C8.jpg,A copper-alloy votive wheel,Sussex Archaeological Society,Attribution License,https://finds.org.uk/images/janeclark68s/SUSS4883C8.jpg,https://finds.org.uk/images/thumbnails/1177737.jpg
1060292,Razor,Bronze Age,Bronze Age,BRONZE AGE,-1000,-800,"An incomplete copper alloy razor dating to the late Bronze Age period (c. 1000-800 BC). The object is sub-diamond shaped with a tapered points and straight sides that widen leading to a worn break at the opposing end. The object is flat and undecorated. The object has a mid-green patina.



Comparable examples recorded on the PAS database include  NMS-44D5CC and NLM-8C28E5, which have been categorised as Piggott Type 1. 



The overall dimensions are as follows: 42.61mm in length, 22.34mm in width, 2.10mm in thickness and 5.45g in weight.",,4,Copper alloy,,Returned to finder,Metal detector,,,,,5.45,,,2.1,42.61,1,Susheela Burford,Susheela Burford,West Midlands,Worcestershire,Malvern Hills,Powick,SO8252,From finder,52.16597,-2.26458101,WAW-AD46C3,,WAWAD46C3.jpg,A Bronze Age Razor,Birmingham Museums Trust,Attribution License,https://finds.org.uk/images/sburford/WAWAD46C3.jpg,https://finds.org.uk/images/thumbnails/1185783.jpg
1060750,Socketed Axehead,Bronze Age,Bronze Age,BRONZE AGE,-1000,-701,"Fragment of a Late Bronze Age copper alloy socketed axehead, part of the socket and all of the crescentic cutting edge. The two broad faces are distorted at the old break. All of the patination has been lost except for a patch behind both ends of the blade. Weight 80g. Extant length 42.5mm. Width 46mm. Thickness 15.2mm. c.1000 - c.700 BC.",,4,Copper alloy,,Returned to finder,Metal detector,2021-09-01T23:00:00Z,2021-09-01T23:00:00Z,,,80,,,15.2,42.5,1,Andrew Rogerson,Andrew Rogerson,,Norfolk,Breckland,Mattishall,TG0512,GPS (from the finder),52.66692988,1.03024041,NMS-D88F73,,PFd_36629_D88F73_ENMD032022_BA_SocketedAxehead.jpg,Fragment of a Late Bronze Age socketed axehead,Norfolk County Council,Attribution License,https://finds.org.uk/images/awilliamsnorfolk/PFd_36629_D88F73_ENMD032022_BA_SocketedAxehead.jpg,https://finds.org.uk/images/thumbnails/1180932.jpg
1060775,Socketed Axehead,Bronze Age,Bronze Age,BRONZE AGE,-1000,-701,"Fragment of a Late Bronze Age copper alloy socketed axehead, the crescentic cutting edge and the very end of the socket. The break is old but there is recent scuffing damage, especially to the cutting edge. Weight 93g. Extant length 31.5mm. Width 62.7mm. Thickness 14.5mm. c.1000 - c.700 BC.",,4,Copper alloy,,Returned to finder,Metal detector,2021-09-30T00:00:00Z,2021-09-30T00:00:00Z,,,93,,,14.5,31.5,1,,Andrew Rogerson,,Norfolk,Broadland,Postwick with Witton,TG2907,,52.61246286,1.3810652,NMS-DA18AB,,PFd_28171_DA18AB_ENMD032022_BA_SocketedAxehead.jpg,Fragment of a Late Bronze Age socketed axehead,Norfolk County Council,Attribution License,https://finds.org.uk/images/awilliamsnorfolk/PFd_28171_DA18AB_ENMD032022_BA_SocketedAxehead.jpg,https://finds.org.uk/images/thumbnails/1180923.jpg
1060880,Chisel,Bronze Age,Bronze Age,BRONZE AGE,-1150,-800,"A complete miniature flax axehead or chisel dating to the Late Bronze Age c.1150-800 cal BC.



The object has a very narrow butt that is slightly rounded, 3.7mm wide and 1.5mm thick. From this point it widens in a smooth concave curve down its length to reach it maximum width of 23.7mm at the blade's corners. The blade corners are damaged such that it is not possible to say it they were rounded or out-turned. The blade is a shallow crescent shape and is bevelled possibly suggesting it has been sharpened although the edge now is abraded and chipped. The axe is lenticular (a pointed oval) in cross section reaching it maximum thickness (3.1mm) approximately half way along its length. It's sides are very slightly upturned into almost imperceptible flanges. There is a casting floor close to its centre which exaggerates their size.



The object has a dark green patina which is chipped in pieces where it has a medium green patina.



The object is 43.7mm long, 23.7mm wide, 3.1mm thick and weighs 6.8 grams.



There are several very similar objects recorded on the database described as either chisels or miniature axeheads (LIN-9CD5CA, LEIC-90F47D,  BH-5D8656, WAW-353C3E, IOW-C695CB, SOM-589161). Many Late Bronze Age chisels share a similar form to this example although these often have projecting collars at their midpoint which this lacks however an example of a chisel from Netherhampton in the British Museum Collection (1998,0901.172) shows how these need not always be present. A similar find is also illustrated from Priory Farm Cave (Savory 1980, p.179, 265 nr. 2). As such a Late Bronze Age date and suggested use as a chisel is appropriate for this object. It should be noted however that while copper alloy woodworking tools are known from the Bronze Age such tools continue in use to the Post Medieval period for finer woodworking.",,4,Copper alloy,,Returned to finder,Metal detector,2022-03-06T00:00:00Z,2022-03-06T00:00:00Z,,,6.8,,,3.2,43.7,1,Edward Caswell,Edward Caswell,South East,Buckinghamshire,Wycombe,Bledlow-cum-Saunderton,SU7999,From finder,51.68421301,-0.85868259,OXON-ECB45F,,OXONECB45F.jpg,Bronze Age chisel,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/edwardcaswelloxon/OXONECB45F.jpg,https://finds.org.uk/images/thumbnails/1178329.jpg
1060893,Spearhead,Bronze Age,Bronze Age,BRONZE AGE,-1550,-800,"A fragment from a cast copper alloy spearhead dating from the Middle or Late Bronze Age, about 1550 – 800 cal BC. Only the tip of the spear remains.



The fragment is triangular in plan, tapering to the spear's point. It has a lozenge shaped midrib that is solid and runs to the point of the spear from which the flat blade edges of the spear extend these narrow in width to meeting the point. The fragment has a dark green patina that is chipped away in places. 



The fragment is 24.2mm long, 14mm wide, 8.5mm thick and weighs 5.1 grams.



 Not enough of the spearhead has remained to be able to date this fragment to a more precise range, although the circular section, the angle of the blade, and the midrib extending to the to the tip suggest comparisons with spearheads in Davis Groups 6-11.",,4,Copper alloy,,Returned to finder,Metal detector,2022-03-06T00:00:00Z,2022-03-06T00:00:00Z,,,5.1,,,8.5,24.2,1,Edward Caswell,Edward Caswell,South East,Buckinghamshire,Wycombe,Bledlow-cum-Saunderton,SU8099,From finder,51.68407164,-0.84422097,OXON-EDE3B4,,OXONEDE3B4.jpg,Bronze Age spearhead,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/edwardcaswelloxon/OXONEDE3B4.jpg,https://finds.org.uk/images/thumbnails/1178344.jpg
1060956,Casting Waste,Bronze Age,Bronze Age,POST MEDIEVAL,-1500,1700,"A fragment of cast copper-alloy Casting Waste of Bronze Age to Post Medieval date (1500 BC-AD 1700). The object is broadly trapezoidal in shape and rectangular in cross section. The outer surface comprises s flat base and angled side.  All of the fragment's edges are worn with the exception of the long edge which has a modern break. 



The metal is dark green in colour with an uneven patina. 



Length: 77.50mm, Width: 51.00mm, Thickness: 12.48mm, Weight: 168.00g",,4,Copper alloy,,Returned to finder,Metal detector,,,,,168,,,12.48,77.5,1,Ellie Cox,Ellie Cox,East Midlands,Northamptonshire,Daventry,Hellidon,SP5257,From finder,52.20877668,-1.24043051,NARC-EFEA13,,NARCEFEA13.jpg,NARC-EFEA13 : Casting Waste : Bronze Age to Post-Medieval,Northamptonshire County Council,Attribution License,https://finds.org.uk/images/elliecox05/NARCEFEA13.jpg,https://finds.org.uk/images/thumbnails/1178389.jpg
1060978,Flanged Axehead,Bronze Age,Bronze Age,BRONZE AGE,-1900,-1600,"A near-complete cast copper alloy developed axehead of Needham’s Class 4E (Type Whittington), dating to the early Bronze Age, probably specifically to the Willerby assemblage (Metalworking Assemblage V), c. 1900 – 1600BC. Needham’s Class 4E (Type Whittington) relates to Type Bandon, as defined by Schmidt & Burgess (1981, p 65)[1] and probably dating to Willerby assemblage (Metalworking Assemblage V), the later part of Needham’s (1996)[2] Period 3, c. 1900 – 1600BC.



The axehead is near-complete, missing only the cutting edge of the blade, the blade tips and part of the butt. There is no decoration visible on any of the axe’s surface. The axe has a lozenge profile with a stop ridge, a damaged straight butt and near-straight, gently diverging sides. The sides only start to diverge more strongly until well below the stop ridge, at which point they flare strongly to produce a heavily expanded blade edge (with a blade width of 64.2mm). The curvature of the sides and the quite strongly curved blade edge is slightly asymmetric, with one of the blade tips more expanded than the other. 



The sides of the axe are convex and undecorated- the flanges stand upright and are not beveled inwards compared to the septum; the flanges stand a maximum of c. 2mm above the septum. The sides are smooth where the original surface remains- any trace of casting flash has been carefully removed. The stop bevel is straight and subtle (with a maximum thickness of 11.2mm excluding the flanges). 



The axe has undergone chemical degradation but is still in relatively good condition. The majority of the original surface remains, with a dark brown patina. The original surface is smooth and even glossy in some patches, preserving some toolmarks including sharpening striations on the blade. There are patches of rust-coloured corrosion product on the original surface. Degradation has led to the delamination of the original surface, which has likely lost much of its copper content and is in a fragile state. This has led to the loss of areas of surface, revealing a light grey powdery core underneath. Cracks in the original surface suggest that this delamination is affecting much of the object. Areas where the surface has been lost entirely include one corner of the butt and a section of adjoining side, parts of the flanges, and one blade tip as well as the entire blade edge.



This axe clearly fits into Needham’s Class 4E (Type Whittington)/Type Bandon: it is comparatively small with a straight butt, a clear stop ridge, straight and near-parallel sides producing a narrow mid-blade, below which it curves sharply to form expanded blade tips.





Length: 109.6mm



Width: 64.2mm



Thickness: 14mm



Weight: 185.54g","[1] Schmidt, P.K. & Burgess, C. 1981; The Axes of Scotland and Northern Ireland, Praähistorische Bronzefunde Abteilung IX, 7. Band 7





[2] Needham, S. 1996; Chronology and Periodisation in the British Bronze Age, Acta Archaeologica 67, p. 121-140



[3] Needham, S., 2018. The classification of Chalcolithic and Early Bronze Age copper and bronze axe-heads from southern Britain. Archaeopress Publishing Ltd.





Appendix 1: Measurements to Needham’s (2018) specifications and associated ratios




	

		

			

			
WB

			

			

			
W2

			

			

			
W3

			

			

			
WE

			

			

			
L

			

			

			
LB

			

			

			
0.8XLB

			

			

			
0.5XLB

			

			

			
DE

			

			

			
LC 

			

			

			
LC'

			

			

			
MO

			

			

			
MT

			

		

		

			

			
19

			

			

			
26

			

			

			
30.1

			

			

			
64.2

			

			

			
109.6

			

			

			
92.6

			

			

			
74.08

			

			

			
46.3

			

			

			
16.5

			

			

			
93.6

			

			

			
76.6

			

			

			
11.6

			

			

			
11.2

			

		

	








	

		

			

			
RWB

			

			

			
RWB'

			

			

			
RWE

			

			

			
RDE

			

			

			
EH

			

			

			
RW3

			

			

			
RMO

			

			

			
ASC/ASD

			

			

			
MRW

			

		

		

			

			
0.30

			

			

			
0.17

			

			

			
0.59

			

			

			
0.26

			

			

			
0.49

			

			

			
0.33

			

			

			
0.12

			

			

			
0.82

			

			

			
0.49",4,Copper alloy,,Returned to finder,Metal detector,,,,,,,,,,1,George Whatley,George Whatley,Wales,Rhondda Cynon Taf,Rhondda Cynon Taf,Pontypridd,ST0691,,51.60995743,-3.35887263,NMGW-F30ECA,,NMWPA2022342.jpg,Early Bronze age flanged axe,The Portable Antiquities Scheme,Attribution License,https://finds.org.uk/images/gwhatley/NMWPA2022342.jpg,https://finds.org.uk/images/thumbnails/1178415.jpg
